49, 37, 43, 26, 29, 34
29, 22, 39, 40, 11, 33
21, 2, 28, 3, 15, 38
32, 13, 38, 18, 15, 22
24, 20, 9, 48, 3, 28
9, 16, 23, 22, 2, 35
5, 40, 17, 26, 42, 6
3, 10, 14, 45, 29, 6
16, 5, 36, 25, 32, 1
31, 9, 28, 10, 32, 29
32, 9, 16, 39, 44, 17
2, 14, 17, 29, 4, 7
9, 25, 46, 36, 31, 7
49, 32, 17, 39, 20, 5
30, 39, 16, 8, 23, 28
15, 13, 35, 41, 5, 18
44, 31, 23, 16, 6, 12
35, 27, 6, 33, 36, 12
11, 4, 23, 2, 42, 17
43, 7, 1, 27, 26, 8
9, 23, 40, 4, 29, 24
39, 33, 10, 13, 38, 23
22, 24, 18, 33, 25, 47
14, 11, 25, 10, 38, 43
46, 41, 25, 5, 29, 14
5, 26, 28, 35, 27, 21
10, 16, 45, 36, 34, 48
26, 16, 20, 45, 25, 17
25, 31, 2, 35, 45, 38
10, 47, 22, 4, 11, 9
23, 26, 24, 49, 33, 12
32, 36, 24, 20, 13, 23
39, 1, 46, 32, 45, 20
23, 41, 10, 11, 1, 6
44, 15, 43, 1, 31, 48
30, 5, 16, 20, 46, 32
20, 6, 43, 47, 28, 26
40, 47, 48, 5, 20, 28
42, 9, 2, 34, 21, 25
14, 45, 5, 37, 42, 11
17, 23, 21, 20, 8, 7
36, 11, 22, 30, 7, 42
17, 30, 34, 50, 21, 32
14, 20, 44, 50, 39, 34
5, 18, 10, 12, 44, 42
22, 23, 16, 40, 9, 30
22, 24, 39, 13, 23, 12
4, 17, 33, 14, 40, 32
36, 6, 50, 17, 2, 14
48, 44, 6, 43, 34, 31
28, 17, 39, 35, 8, 3
29, 50, 49, 3, 25, 35
2, 39, 7, 3, 13, 17
19, 35, 3, 1, 48, 13
19, 36, 39, 3, 27, 43
45, 17, 28, 29, 23, 38
2, 48, 5, 40, 7, 10
11, 31, 10, 5, 18, 38
2, 13, 46, 33, 7, 28
12, 14, 39, 6, 21, 32
2, 14, 18, 43, 26, 22
18, 45, 5, 10, 42, 17
13, 42, 17, 28, 46, 40
47, 44, 19, 17, 31, 49
31, 5, 1, 22, 32, 35
45, 44, 6, 48, 13, 31
40, 25, 27, 8, 7, 33
6, 39, 43, 5, 35, 8
49, 28, 27, 14, 36, 25
43, 1, 38, 42, 7, 22
2, 27, 6, 22, 50, 33
26, 1, 10, 43, 20, 45
29, 14, 31, 36, 38, 33
5, 45, 21, 50, 36, 28
48, 31, 13, 2, 9, 7
4, 48, 37, 30, 3, 7
8, 6, 2, 45, 19, 38
26, 28, 32, 24, 40, 38
48, 5, 30, 34, 47, 50
43, 29, 41, 47, 2, 28
43, 41, 27, 2, 15, 48
35, 2, 36, 30, 1, 8
3, 10, 25, 49, 24, 40
30, 2, 16, 13, 40, 41
32, 36, 37, 33, 10, 47
8, 2, 33, 27, 4, 47
25, 12, 6, 44, 1, 13
31, 24, 10, 5, 15, 19
38, 31, 44, 24, 37, 10
22, 50, 12, 43, 25, 19
13, 24, 39, 2, 49, 5
11, 48, 9, 28, 18, 21
9, 39, 30, 7, 15, 8
33, 6, 20, 35, 45, 7
13, 6, 17, 44, 22, 4
48, 32, 5, 1, 25, 49
3, 40, 4, 29, 27, 22
14, 5, 23, 16, 12, 45
39, 30, 24, 21, 35, 29
24, 20, 34, 1, 3, 48
7, 33, 42, 50, 13, 47
38, 20, 47, 14, 1, 42
24, 30, 50, 43, 16, 26
22, 32, 46, 5, 8, 31
33, 12, 11, 44, 34, 15
43, 32, 24, 12, 30, 42
47, 37, 25, 32, 16, 20
11, 13, 1, 50, 41, 10
37, 33, 32, 50, 6, 14
9, 12, 10, 47, 15, 45
36, 37, 44, 10, 48, 24
40, 10, 37, 31, 27, 34
23, 15, 41, 43, 14, 2
3, 13, 38, 31, 44, 11
44, 41, 45, 30, 37, 42
19, 39, 18, 12, 35, 47
31, 28, 32, 5, 29, 46
20, 33, 38, 15, 24, 48
2, 45, 48, 17, 40, 8
40, 16, 44, 15, 1, 19
23, 7, 37, 5, 33, 47
23, 1, 48, 50, 21, 6
12, 26, 11, 38, 39, 36
27, 5, 19, 43, 6, 15
17, 20, 4, 34, 10, 49
4, 29, 7, 38, 14, 49
11, 25, 35, 7, 18, 14
47, 41, 44, 48, 33, 5
24, 36, 1, 48, 11, 13
38, 14, 40, 46, 34, 41
8, 33, 25, 49, 6, 24
27, 28, 21, 38, 6, 40
18, 40, 38, 21, 30, 46
11, 6, 40, 10, 35, 48
35, 5, 30, 4, 34, 12
48, 19, 18, 10, 15, 24
2, 32, 13, 48, 41, 27
8, 50, 14, 33, 2, 9
30, 13, 42, 8, 12, 14
12, 41, 31, 24, 23, 48
49, 27, 8, 48, 5, 15
39, 17, 31, 44, 46, 33
